ObservationTime,WindGustSpeed (Kilometres per hour)
2020-01-25 14:00:00+00:00,21.06
2020-01-25 15:00:00+00:00,20.52
2020-01-25 16:00:00+00:00,15.6
2020-01-25 17:00:00+00:00,23.76
2020-01-25 18:00:00+00:00,28.56
2020-01-25 19:00:00+00:00,28.56
2020-01-25 20:00:00+00:00,31.74
2020-01-25 21:00:00+00:00,27.96
2020-01-25 22:00:00+00:00,22.8
2020-01-25 23:00:00+00:00,24.72
2020-01-26 00:00:00+00:00,28.74
2020-01-26 01:00:00+00:00,29.34
2020-01-26 02:00:00+00:00,21.48
2020-01-26 03:00:00+00:00,24.06
2020-01-26 04:00:00+00:00,20.7
2020-01-26 05:00:00+00:00,21.36
2020-01-26 06:00:00+00:00,24.36
2020-01-26 07:00:00+00:00,28.08
2020-01-26 08:00:00+00:00,31.02
2020-01-26 09:00:00+00:00,25.32
2020-01-26 10:00:00+00:00,29.7
2020-01-26 11:00:00+00:00,38.1
2020-01-26 12:00:00+00:00,41.16
2020-01-26 13:00:00+00:00,42.9
2020-01-26 14:00:00+00:00,38.34
2020-01-26 15:00:00+00:00,39.12
2020-01-26 16:00:00+00:00,38.52
2020-01-26 17:00:00+00:00,42.42
2020-01-26 18:00:00+00:00,45.78
2020-01-26 19:00:00+00:00,47.52
2020-01-26 20:00:00+00:00,47.28
2020-01-26 21:00:00+00:00,33.3
2020-01-26 22:00:00+00:00,27.54
2020-01-26 23:00:00+00:00,28.26
2020-01-27 00:00:00+00:00,27.3
2020-01-27 01:00:00+00:00,20.94
2020-01-27 02:00:00+00:00,21.54
2020-01-27 03:00:00+00:00,19.68
2020-01-27 04:00:00+00:00,31.2
2020-01-27 05:00:00+00:00,30.78
2020-01-27 06:00:00+00:00,29.04
2020-01-27 07:00:00+00:00,28.56
2020-01-27 08:00:00+00:00,30.3
2020-01-27 09:00:00+00:00,32.52
2020-01-27 10:00:00+00:00,28.92
2020-01-27 11:00:00+00:00,26.82
2020-01-27 12:00:00+00:00,31.26
2020-01-27 13:00:00+00:00,28.14
2020-01-27 14:00:00+00:00,23.94
2020-01-27 15:00:00+00:00,24.18
2020-01-27 16:00:00+00:00,18.72
2020-01-27 17:00:00+00:00,24.12
2020-01-27 18:00:00+00:00,18.66
2020-01-27 19:00:00+00:00,9.54
2020-01-27 20:00:00+00:00,16.44
2020-01-27 21:00:00+00:00,18.96
2020-01-27 22:00:00+00:00,20.82
2020-01-27 23:00:00+00:00,18.96
2020-01-28 00:00:00+00:00,25.26
2020-01-28 01:00:00+00:00,25.44
2020-01-28 02:00:00+00:00,23.52
2020-01-28 03:00:00+00:00,31.86
2020-01-28 04:00:00+00:00,34.56
2020-01-28 05:00:00+00:00,46.2
2020-01-28 06:00:00+00:00,40.08
2020-01-28 07:00:00+00:00,43.98
2020-01-28 08:00:00+00:00,44.52
2020-01-28 09:00:00+00:00,45.12
2020-01-28 10:00:00+00:00,50.28
2020-01-28 11:00:00+00:00,53.28
